S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
171,TELANGANA,2019,1800,1757,2011,1824,1979,1928,1790,1602,1353,1695,1864,1967,21570,State
172,TRIPURA,2019,70,62,47,38,59,54,50,55,50,50,63,57,655,State
173,UTTAR PRADESH,2019,3570,3160,3347,2995,3462,3345,2858,2761,2574,2829,3279,3357,37537,State
174,UTTARAKHAND,2019,121,117,104,97,128,137,123,108,85,101,101,130,1352,State
175,WEST BENGAL,2019,935,965,947,904,951,932,1142,1018,1015,1129,1106,1189,12233,State
176,ANDAMAN AND NICOBAR ISLANDS,2020,27,21,12,0,14,10,12,3,11,10,8,13,141,UT
177,ANDHRA PRADESH,2020,1888,1894,1522,485,1044,1338,1235,1410,1578,1749,1862,1919,17924,State
178,ARUNACHAL PRADESH,2020,19,20,17,4,9,4,10,4,6,16,23,27,159,State
179,ASSAM,2020,832,824,658,148,358,513,407,446,507,617,680,747,6737,State
180,BIHAR,2020,781,866,731,404,523,792,660,679,753,674,803,973,8639,State
181,CHANDIGARH,2020,17,17,11,4,9,7,16,17,12,18,14,15,157,UT
182,CHHATTISGARH,2020,1382,1269,951,309,716,932,957,923,875,1027,1170,1163,11674,State
183,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2020,14,9,3,2,5,6,9,9,10,11,11,9,98,UT
184,DELHI,2020,492,407,390,99,171,261,356,371,382,472,380,406,4187,UT
185,GOA,2020,341,317,196,83,156,156,129,144,156,183,242,272,2375,State
186,GUJARAT,2020,1536,1538,1231,347,667,956,959,972,1087,1284,1377,1453,13407,State
187,HARYANA,2020,894,939,774,215,511,742,803,850,830,995,974,979,9506,State
188,HIMACHAL PRADESH,2020,189,190,173,48,118,138,224,217,213,280,222,223,2235,State
189,JAMMU AND KASHMIR,2020,366,445,363,149,327,397,428,480,484,566,540,455,5000,UT
190,JHARKHAND,2020,429,466,405,92,183,397,312,339,351,426,483,522,4405,State
191,KARNATAKA,2020,3774,3651,3026,804,2260,2660,2332,2797,2844,2996,3356,3678,34178,State
192,KERALA,2020,3991,3776,2881,447,1368,2022,1755,1740,2005,2312,2595,2907,27799,State
193,LAKSHADWEEP,2020,0,0,0,0,0,0,0,1,0,0,0,0,1,UT
194,MADHYA PRADESH,2020,4521,4335,3505,852,2100,3534,3497,3465,3561,4131,4599,4296,42396,State
195,MAHARASHTRA,2020,2540,2389,1945,584,1201,1516,1407,1635,1720,2139,2355,2780,22211,State
196,MANIPUR,2020,56,64,53,12,28,23,33,20,30,27,43,43,432,State
197,MEGHALAYA,2020,28,22,16,3,12,14,11,8,16,16,25,34,205,State
198,MIZORAM,2020,7,6,3,2,2,1,4,2,3,2,5,10,47,State
199,NAGALAND,2020,3,0,5,1,3,3,1,1,1,0,5,4,27,State
